"Question_ID","Difficulty","Category","Question","A","B","C","D","Correct_Answer"
"29","Hard","Food and Drink","Which spice is made from the dried aril surrounding the nutmeg seed?","Allspice","Clove","Star anise","Mace","D"
"30","Hard","Literature and Language","In Dante's Divine Comedy, who guides Dante through Hell and most of Purgatory?","Horace","Homer","Ovid","Virgil","D"
"31","Hard","Arts and Music","In printmaking, which technique uses acid to bite lines into a metal plate?","Woodcut","Linocut","Screen printing","Etching","D"
"32","Hard","Geography","Which sea is bordered by Romania, Georgia, and Turkey?","Adriatic Sea","Caspian Sea","Black Sea","Baltic Sea","C"
"33","Hard","Technology","In relational databases, what does a foreign key primarily establish?","A reference to a key in a related table","A complete copy of the database","A physical storage address","A unique encryption password","A"
"34","Hard","Sports and Games","Which country won the first men's Rugby World Cup in 1987?","Australia","South Africa","England","New Zealand","D"
"35","Hard","Arts and Music","Which artist created the painting The Treachery of Images, depicting a pipe?","René Magritte","Giorgio de Chirico","Salvador Dalí","Max Ernst","A"
"36","Hard","Technology","In computing, what problem does a race condition involve?","A file extension mismatch","Behavior depending on the timing of concurrent operations","A monitor refresh rate that is too low","An exhausted printer cartridge","B"
"37","Hard","Food and Drink","Which compound is chiefly responsible for the pungent heat of chili peppers?","Piperine","Capsaicin","Menthol","Vanillin","B"
"38","Hard","Literature and Language","Who wrote the play Six Characters in Search of an Author?","Bertolt Brecht","Samuel Beckett","Eugène Ionesco","Luigi Pirandello","D"
"39","Hard","Sports and Games","Which chess world champion lost the 1972 title match to Bobby Fischer?","Mikhail Tal","Boris Spassky","Vasily Smyslov","Tigran Petrosian","B"
"40","Hard","Sports and Games","In a standard decathlon, which event concludes the competition?","800 meters","400 meters","5,000 meters","1,500 meters","D"
"41","Hard","Literature and Language","Which novel features the fictional town of Macondo?","Pedro Páramo","The Death of Artemio Cruz","The House of the Spirits","One Hundred Years of Solitude","D"
"42","Hard","Science","Which scientist proposed the exclusion principle for identical fermions?","Max Planck","Erwin Schrödinger","Louis de Broglie","Wolfgang Pauli","D"
"43","Hard","Sports and Games","In fencing, which weapon uses only the torso as the target area, including the conductive bib under standard rules?","Épée","Sabre","Foil","Rapier","C"
"44","Hard","Geography","Which country completely surrounds Lesotho?","South Africa","Eswatini","Botswana","Zimbabwe","A"
"45","Hard","Sports and Games","In chess, which opening begins 1. e4 c5?","French Defense","Sicilian Defense","Caro-Kann Defense","Scandinavian Defense","B"
"46","Hard","Science","Which law states that induced current opposes the change in magnetic flux producing it?","Boyle's law","Snell's law","Hooke's law","Lenz's law","D"
"47","Hard","Literature and Language","Who wrote the novel The Master and Margarita?","Ivan Turgenev","Boris Pasternak","Nikolai Gogol","Mikhail Bulgakov","D"
"48","Hard","Arts and Music","Which composer wrote the Goldberg Variations?","Domenico Scarlatti","George Frideric Handel","Johann Sebastian Bach","Jean-Philippe Rameau","C"
"49","Hard","Mathematics","How many edges does a regular icosahedron have?","20","12","30","60","C"
"50","Hard","Science","What is the SI unit of magnetic flux?","Tesla","Henry","Farad","Weber","D"
"51","Hard","Food and Drink","Which French mother sauce is traditionally made with a light stock thickened with a blond roux?","Espagnole","Béchamel","Velouté","Hollandaise","C"
"52","Hard","Geography","Which African country was formerly known as Dahomey?","Guinea","Benin","Gabon","Togo","B"
"53","Hard","Nature and Biology","Which plant tissue transports sugars from sources to sinks?","Xylem","Epidermis","Phloem","Cork","C"
"54","Hard","History","Who was the principal Prussian diplomat associated with the unification of Germany in 1871?","Georges Clemenceau","Otto von Bismarck","Klemens von Metternich","Camillo Cavour","B"
"55","Hard","History","Which Chinese dynasty immediately preceded the Ming dynasty?","Tang","Song","Yuan","Qing","C"
"56","Hard","Nature and Biology","Which taxonomic rank lies immediately above family in the standard hierarchy?","Class","Phylum","Order","Genus","C"
"57","Hard","Nature and Biology","Which organelle modifies and sorts proteins received from the endoplasmic reticulum?","Centrosome","Peroxisome","Nucleolus","Golgi apparatus","D"
"58","Hard","Technology","What does a cryptographic hash function produce from input data?","A fixed-length digest","A random-length compressed archive","A guaranteed reversible encoding","A public-private key pair","A"
"59","Hard","Technology","Which sorting algorithm has a guaranteed worst-case time complexity of O(n log n) in its standard form?","Insertion sort","Selection sort","Bubble sort","Merge sort","D"
"60","Hard","Nature and Biology","Which stage of meiosis normally includes crossing over?","Telophase I","Anaphase II","Prophase I","Metaphase II","C"
"61","Hard","History","Which Byzantine emperor ordered the compilation now known as the Corpus Juris Civilis?","Justinian I","Alexios I Komnenos","Heraclius","Basil II","A"
"62","Hard","Science","Which moon has a dense atmosphere dominated by nitrogen?","Titan","Callisto","Ganymede","Europa","A"
"63","Hard","Nature and Biology","What is the term for a fungus and a photosynthetic partner living in a lichen association?","Metamorphosis","Parthenogenesis","Convergent evolution","Symbiosis","D"
"64","Hard","Technology","What is a topological ordering defined for?","A directed acyclic graph","A directed graph containing a cycle","A complete graph with self-loops","Any undirected graph","A"
"65","Hard","Technology","What does the I in ACID database transaction properties stand for?","Integration","Isolation","Indexing","Iteration","B"
"66","Hard","Literature and Language","Which language is classified as a language isolate in Europe?","Albanian","Basque","Welsh","Lithuanian","B"
"67","Hard","Food and Drink","Which French term describes vegetables cut into very fine, small cubes?","Brunoise","Chiffonade","Julienne","Batonnet","A"
"68","Hard","Nature and Biology","Which nitrogenous base occurs in RNA in place of thymine?","Guanine","Uracil","Adenine","Cytosine","B"
"69","Hard","Geography","Which mountain is the highest peak in the Atlas Mountains?","Ras Dashen","Toubkal","Mount Kenya","Kilimanjaro","B"
"70","Hard","Food and Drink","Which type of pastry is used to make profiteroles?","Puff pastry","Filo pastry","Shortcrust pastry","Choux pastry","D"
"71","Hard","Technology","Which layer of the OSI model is responsible for routing packets between networks?","Data link layer","Session layer","Network layer","Presentation layer","C"
"72","Hard","Mathematics","What is the decimal value of the binary number 101101?","47","45","43","53","B"
"73","Hard","Food and Drink","Which process gives browned bread crust much of its characteristic flavor through reactions between sugars and amino compounds?","Saponification","Distillation","Hydrogenation","Maillard reaction","D"
"74","Hard","Geography","Which strait connects the Sea of Marmara with the Aegean Sea?","Dardanelles","Bosporus","Kerch Strait","Strait of Otranto","A"
"75","Hard","Literature and Language","What is the term for a word or phrase formed by rearranging the letters of another?","Acrostic","Anagram","Epigram","Metonym","B"
"76","Hard","Arts and Music","Which term describes a musical texture with two or more independent melodic lines?","Homorhythm","Monophony","Polyphony","Unison","C"
"77","Hard","Technology","Which principle states that a subclass should be usable wherever its superclass is expected without breaking correct behavior?","Interface segregation principle","Liskov substitution principle","Single responsibility principle","Dependency inversion principle","B"
"78","Hard","Arts and Music","Who composed the opera Wozzeck?","Anton Webern","Paul Hindemith","Alban Berg","Arnold Schoenberg","C"
"79","Hard","Nature and Biology","What type of selection favors intermediate phenotypes over both extremes?","Stabilizing selection","Disruptive selection","Sexual selection","Directional selection","A"
"80","Hard","Sports and Games","In contract bridge, how many tricks must a partnership take to fulfill a small slam?","Eleven","Ten","Twelve","Thirteen","C"
"81","Hard","Food and Drink","Which acid is primarily responsible for the tartness of vinegar?","Citric acid","Tartaric acid","Acetic acid","Lactic acid","C"
"82","Hard","Geography","Which South American capital is situated on the Rímac River?","Caracas","Quito","Bogotá","Lima","D"
"83","Hard","Food and Drink","Which grain-like seed used in soba noodles belongs to the knotweed family rather than the grass family?","Millet","Sorghum","Buckwheat","Spelt","C"
"84","Hard","Literature and Language","Who wrote the philosophical work Being and Time?","Martin Heidegger","Edmund Husserl","Jean-Paul Sartre","Karl Jaspers","A"
"85","Hard","Mathematics","What is the remainder when 7 to the power of 100 is divided by 10?","3","7","9","1","D"
"86","Hard","Sports and Games","Which athlete won four gold medals at the 1936 Berlin Olympics?","Carl Lewis","Paavo Nurmi","Emil Zátopek","Jesse Owens","D"
"87","Hard","History","Which naval battle in 1571 saw the Holy League defeat an Ottoman fleet?","Lepanto","Trafalgar","Actium","Navarino","A"
"88","Hard","Nature and Biology","What is the name of the functional filtering unit of the vertebrate kidney?","Alveolus","Nephron","Sarcomere","Neuron","B"
"89","Hard","Arts and Music","Which painter created The Ambassadors, featuring a distorted skull?","Jan van Eyck","Albrecht Dürer","Hans Holbein the Younger","Pieter Bruegel the Elder","C"
"90","Hard","Sports and Games","Which country won the men's football gold medal at the 1924 Paris Olympics?","Uruguay","Hungary","Italy","Argentina","A"
"91","Hard","Science","Which spectral series of hydrogen corresponds to transitions ending at energy level n = 2?","Balmer series","Brackett series","Paschen series","Lyman series","A"
"92","Hard","Nature and Biology","Which enzyme synthesizes RNA from a DNA template?","RNA polymerase","Helicase","DNA ligase","Reverse transcriptase","A"
"93","Hard","History","Which ruler founded the Mughal Empire after the First Battle of Panipat?","Babur","Aurangzeb","Akbar","Humayun","A"
"94","Hard","Arts and Music","Which architect designed the Villa Savoye?","Ludwig Mies van der Rohe","Walter Gropius","Le Corbusier","Alvar Aalto","C"
"95","Hard","Geography","Which river flows through the city of Vientiane?","Mekong","Red River","Irrawaddy","Salween","A"
"96","Hard","Science","What is the oxidation state of chromium in the dichromate ion Cr2O7 with charge 2-?","+4","+7","+6","+3","C"
"97","Hard","Arts and Music","What is the interval spanning six semitones called?","Perfect fourth","Major sixth","Perfect fifth","Tritone","D"
"98","Hard","Science","Which particle mediates the electromagnetic interaction?","Gluon","Photon","Z boson","W boson","B"
"99","Hard","Food and Drink","What is the name of the thin skin that forms on the surface when soy milk is heated?","Yuba","Natto","Koji","Dashi","A"
"100","Hard","Mathematics","What is the derivative of ln(x) for x greater than zero?","1/x","1/x squared","x","ln(x)/x","A"
