"Question_ID","Difficulty","Category","Question","A","B","C","D","Correct_Answer"
"53","Easy","Literature and Language","Which punctuation mark normally ends a direct question?","Apostrophe","Colon","Comma","Question mark","D"
"54","Easy","Arts and Music","Which of these is a percussion instrument?","Oboe","Drum","Trombone","Clarinet","B"
"55","Easy","Geography","What is the largest ocean on Earth?","Pacific Ocean","Arctic Ocean","Indian Ocean","Atlantic Ocean","A"
"56","Easy","Literature and Language","What is the plural of child?","Childs","Childrens","Childes","Children","D"
"57","Easy","Geography","Which desert covers much of northern Africa?","Sahara","Kalahari","Atacama","Gobi","A"
"58","Easy","Literature and Language","Who wrote the Harry Potter novels?","Roald Dahl","C. S. Lewis","J. R. R. Tolkien","J. K. Rowling","D"
"59","Easy","Geography","What is the capital of France?","Berlin","Madrid","Rome","Paris","D"
"60","Easy","Geography","Which country is shaped like a boot on maps?","Portugal","Italy","Norway","Greece","B"
"61","Easy","Arts and Music","Who painted the Mona Lisa?","Claude Monet","Pablo Picasso","Vincent van Gogh","Leonardo da Vinci","D"
"62","Easy","Arts and Music","Which musical instrument is played by blowing across a mouth hole?","Cello","Timpani","Harp","Flute","D"
"63","Easy","Sports and Games","In which sport is a hole-in-one a possible achievement?","Darts","Bowling","Archery","Golf","D"
"64","Easy","Mathematics","How many sides does a triangle have?","Six","Three","Four","Five","B"
"65","Easy","Science","Which part of a plant usually absorbs water from soil?","Roots","Fruit","Petals","Flowers","A"
"66","Easy","Nature and Biology","Which of these is a flightless bird?","Penguin","Swallow","Eagle","Sparrow","A"
"67","Easy","Nature and Biology","What do bees collect from flowers to make honey?","Salt","Nectar","Bark","Sand","B"
"68","Easy","Geography","Which ocean lies between Africa and Australia?","Southern Ocean","Indian Ocean","Atlantic Ocean","Arctic Ocean","B"
"69","Easy","History","Who was the first president of the United States?","Thomas Jefferson","George Washington","Abraham Lincoln","John Adams","B"
"70","Easy","Arts and Music","Which instrument usually has 88 keys?","Piano","Flute","Violin","Trumpet","A"
"71","Easy","Literature and Language","Which word is the opposite of generous?","Stingy","Helpful","Cheerful","Kind","A"
"72","Easy","Science","Which instrument measures temperature?","Compass","Barometer","Thermometer","Telescope","C"
"73","Easy","Mathematics","Which shape has no corners and is perfectly round in a plane?","Circle","Pentagon","Triangle","Square","A"
"74","Easy","Science","What is the chemical formula for water?","CO2","NaCl","H2O","O2","C"
"75","Easy","Arts and Music","Which artist cut off part of his own ear?","Vincent van Gogh","Michelangelo","Salvador Dalí","Rembrandt","A"
"76","Easy","Food and Drink","Which fruit is traditionally used to make guacamole?","Avocado","Apple","Pear","Peach","A"
"77","Easy","Food and Drink","Which ingredient makes most conventional bread dough rise?","Vinegar","Oil","Yeast","Salt","C"
"78","Easy","Literature and Language","In the story of Pinocchio, what grows when he tells a lie?","His ears","His nose","His hands","His feet","B"
"79","Easy","History","Who was the first person to walk on the Moon?","Buzz Aldrin","John Glenn","Neil Armstrong","Yuri Gagarin","C"
"80","Easy","Food and Drink","Which beverage is made from roasted coffee beans?","Tea","Lemonade","Cocoa","Coffee","D"
"81","Easy","Nature and Biology","What does a caterpillar become after metamorphosis in a butterfly's life cycle?","Dragonfly","Spider","Beetle","Butterfly","D"
"82","Easy","Mathematics","What is 12 plus 15?","26","28","25","27","D"
"83","Easy","Nature and Biology","Which animal is famous for building dams?","Fox","Otter","Beaver","Badger","C"
"84","Easy","Technology","Which tool is designed to drive nails into wood?","Hammer","File","Wrench","Pliers","A"
"85","Easy","Technology","Which device is primarily used to type text into a desktop computer?","Speaker","Printer","Keyboard","Monitor","C"
"86","Easy","Technology","Which household appliance keeps food cold?","Oven","Refrigerator","Toaster","Kettle","B"
"87","Easy","Mathematics","What is the next number in the sequence 2, 4, 6, 8?","11","9","12","10","D"
"88","Easy","Nature and Biology","Which of these animals is a mammal?","Octopus","Dolphin","Trout","Shark","B"
"89","Easy","Literature and Language","Which language is the word bonjour from?","Swedish","French","German","Italian","B"
"90","Easy","Technology","What does a camera primarily capture?","Temperatures","Scents","Images","Weights","C"
"91","Easy","Technology","Which item protects you from rain when held overhead?","Belt","Gloves","Scarf","Umbrella","D"
"92","Easy","Mathematics","How many months are in a year?","12","13","11","10","A"
"93","Easy","Technology","Which device shows the direction of magnetic north?","Stopwatch","Calculator","Microscope","Compass","D"
"94","Easy","History","Which ship sank on its maiden voyage in 1912?","Santa Maria","Mayflower","Titanic","Beagle","C"
"95","Easy","Technology","Which device prints digital documents onto paper?","Scanner","Printer","Microphone","Router","B"
"96","Easy","History","Which country did the samurai come from?","Japan","Mongolia","India","China","A"
"97","Easy","Nature and Biology","What is a baby frog called?","Cub","Tadpole","Foal","Calf","B"
"98","Easy","History","What did medieval knights typically wear for protection in battle?","Kilts","Togas","Armor","Lab coats","C"
"99","Easy","Geography","Which country has a maple leaf on its flag?","Mexico","Canada","Brazil","Argentina","B"
"100","Easy","Mathematics","Which number is even?","27","18","21","15","B"
