Question_ID;Question;Answer_A;Answer_B;Answer_C;Answer_D;Correct_Answer
66;Which part of the brain is primarily responsible for balance and coordination?;Medulla;Frontal lobe;Cerebellum;Hypothalamus;C
67;Which treaty formally ended World War I between Germany and the Allied Powers?;Treaty of Versailles;Treaty of Paris;Treaty of Utrecht;Treaty of Tordesillas;A
68;Which chemical element has the symbol K?;Krypton;Calcium;Cobalt;Potassium;D
69;Which artist painted the ceiling of the Sistine Chapel?;Raphael;Michelangelo;Donatello;Titian;B
70;What is the value of pi rounded to two decimal places?;3.gru;mar.16;mar.14;mar.18;C
71;Which country has the largest population in South America?;Brazil;Argentina;Colombia;Peru;A
72;What is the main language spoken in Austria?;Dutch;French;Italian;German;D
73;Which scientist is associated with the uncertainty principle?;Richard Feynman;Werner Heisenberg;James Clerk Maxwell;Michael Faraday;B
74;What is the largest internal organ in the human body?;Brain;Lung;Liver;Kidney;C
75;Which Shakespeare play features the characters Rosencrantz and Guildenstern?;Hamlet;Macbeth;Othello;King Lear;A
76;Which country was formerly known as Persia?;Iraq;Syria;Turkey;Iran;D
77;What is the derivative of x² with respect to x?;x;2x;x²;2;B
78;Which planet has the shortest year in our solar system?;Venus;Earth;Mercury;Mars;C
79;Which city was buried by the eruption of Mount Vesuvius in AD 79?;Pompeii;Athens;Sparta;Carthage;A
80;Which unit is used to measure frequency?;Pascal;Joule;Tesla;Hertz;D
81;Which philosopher wrote 'The Republic'?;Aristotle;Plato;Socrates;Epicurus;B
82;What is the chemical formula of table salt?;KCl;CaCO3;NaCl;HCl;C
83;Which African country has Addis Ababa as its capital?;Ethiopia;Kenya;Eritrea;Somalia;A
84;Which literary character is the protagonist of George Orwell's '1984'?;Holden Caulfield;Jay Gatsby;Atticus Finch;Winston Smith;D
85;What is the name of the boundary around a black hole beyond which nothing can escape?;Photon belt;Event horizon;Singularity shell;Gravity wall;B
86;Which empire used Constantinople as its capital for most of its history?;Holy Roman Empire;Ottoman Empire only;Byzantine Empire;Mughal Empire;C
87;Which mathematician is credited with a theorem relating the sides of a right triangle?;Pythagoras;Euclid;Archimedes;Fibonacci;A
88;What is the SI base unit of temperature?;Celsius;Fahrenheit;Rankine;Kelvin;D
89;Which novel was written by Fyodor Dostoevsky?;War and Peace;Crime and Punishment;Fathers and Sons;Dead Souls;B
90;Which blood type is commonly described as the universal red-cell donor?;AB positive;A negative;O negative;B positive;C
91;Which ancient Greek mathematician calculated an early accurate estimate of Earth's circumference?;Eratosthenes;Ptolemy;Hipparchus;Thales;A
92;Which molecule carries genetic information in most living organisms?;ATP;RNA only;Protein;DNA;D
93;Which composer wrote the opera 'The Magic Flute'?;Richard Wagner;Wolfgang Amadeus Mozart;Giuseppe Verdi;Giacomo Puccini;B
94;Which astronomical unit is approximately equal to the average distance between Earth and the Sun?;Light-year;Parsec;Astronomical unit (AU);Solar radius;C
95;Which modern-day country contains the ancient city of Petra?;Jordan;Lebanon;Israel;Egypt;A
96;Which law states that the pressure of a fixed amount of gas is inversely proportional to its volume at constant temperature?;Charles's law;Ohm's law;Hooke's law;Boyle's law;D
97;Which branch of mathematics studies properties that are preserved under continuous deformation?;Number theory;Topology;Trigonometry;Combinatorics;B
98;Which element is the most abundant in the Sun?;Helium;Oxygen;Hydrogen;Carbon;C
99;Which scientist introduced the concept of natural selection as a key mechanism of evolution?;Charles Darwin;Gregor Mendel;Louis Pasteur;Robert Hooke;A
100;Which language family does Polish belong to?;Germanic;Romance;Uralic;Slavic;D
